Key,Route Code,SUBROUTE,Dominant Marketing Airline,합계 : Pax,OBD,Weight,,,,
I/KIXTW,I/KIX,ICN-KIX,TW,"6,260 ","42,168 ",15%,,,,
I/KIXOM,I/KIX,ICN-KIX,OM,1 ,0 ,0%,,,,
I/KIXZE,I/KIX,ICN-KIX,ZE,"5,063 ","30,511 ",17%,,,,
I/KIXWE,I/KIX,ICN-KIX,WE,"5,102 ",0 ,0%,,,,
I/NGO7C,I/NGO,ICN-NGO,7C,"6,031 ","20,608 ",29%,,,,
I/NGOH1,I/NGO,ICN-NGO,H1,48 ,0 ,0%,,,,
I/NGOJL,I/NGO,ICN-NGO,JL,7 ,0 ,0%,,,,
I/NGOKE,I/NGO,ICN-NGO,KE,"20,726 ","22,937 ",90%,,,,
I/NGOLJ,I/NGO,ICN-NGO,LJ,"6,891 ","29,011 ",24%,,,,
I/NGONH,I/NGO,ICN-NGO,NH,84 ,0 ,0%,,,,
I/NGOOZ,I/NGO,ICN-NGO,OZ,"26,946 ","19,256 ",140%,,,,
I/NGOEY,I/NGO,ICN-NGO,EY,1 ,0 ,0%,,,,
I/NGOOM,I/NGO,ICN-NGO,OM,1 ,0 ,0%,,,,
I/NGOVS,I/NGO,ICN-NGO,VS,1 ,0 ,0%,,,,
I/NRT7C,I/NRT,ICN-NRT,7C,"16,787 ","56,790 ",30%,,,,
I/NRTBX,I/NRT,ICN-NRT,BX,"19,457 ","21,778 ",89%,,,,
I/NRTDL,I/NRT,ICN-NRT,DL,5 ,0 ,0%,,,,
I/NRTET,I/NRT,ICN-NRT,ET,"4,639 ","6,900 ",67%,,,,
I/NRTH1,I/NRT,ICN-NRT,H1,422 ,0 ,0%,,,,
I/NRTJL,I/NRT,ICN-NRT,JL,56 ,0 ,0%,,,,
I/NRTKE,I/NRT,ICN-NRT,KE,"51,606 ","44,144 ",117%,,,,
I/NRTLJ,I/NRT,ICN-NRT,LJ,"20,268 ","61,204 ",33%,,,,
I/NRTNH,I/NRT,ICN-NRT,NH,45 ,0 ,0%,,,,
I/NRTOZ,I/NRT,ICN-NRT,OZ,"46,141 ","44,948 ",103%,,,,
I/NRTRS,I/NRT,ICN-NRT,RS,"24,631 ","27,966 ",88%,,,,
I/NRTTW,I/NRT,ICN-NRT,TW,"6,030 ","35,007 ",17%,,,,
I/NRTYP,I/NRT,ICN-NRT,YP,"9,487 ","16,068 ",59%,,,,
I/NRTUA,I/NRT,ICN-NRT,UA,1 ,0 ,0%,,,,
I/NRTZE,I/NRT,ICN-NRT,ZE,"12,737 ","21,795 ",58%,,,,
I/NRTWE,I/NRT,ICN-NRT,WE,"16,261 ",0 ,0%,,,,
I/OKA7C,I/OKA,ICN-OKA,7C,"5,263 ","10,403 ",51%,,,,
I/OKADL,I/OKA,ICN-OKA,DL,1 ,0 ,0%,,,,
I/OKAH1,I/OKA,ICN-OKA,H1,168 ,0 ,0%,,,,
I/OKAJL,I/OKA,ICN-OKA,JL,11 ,0 ,0%,,,,
I/OKAKE,I/OKA,ICN-OKA,KE,"10,044 ","7,731 ",130%,,,,
I/OKALJ,I/OKA,ICN-OKA,LJ,"9,932 ","14,902 ",67%,,,,
I/OKANH,I/OKA,ICN-OKA,NH,29 ,0 ,0%,,,,
I/OKAOZ,I/OKA,ICN-OKA,OZ,"10,289 ","10,352 ",99%,,,,
I/OKATW,I/OKA,ICN-OKA,TW,"1,893 ","10,586 ",18%,,,,
I/OKAZE,I/OKA,ICN-OKA,ZE,"3,561 ","10,586 ",34%,,,,
P/FUK7C,P/FUK,PUS-FUK,7C,"3,959 ","20,081 ",20%,,,,
P/FUKBX,P/FUK,PUS-FUK,BX,"20,165 ","47,428 ",43%,,,,
P/FUKH1,P/FUK,PUS-FUK,H1,9 ,0 ,0%,,,,
P/FUKLJ,P/FUK,PUS-FUK,LJ,"2,607 ","8,510 ",31%,,,,
P/FUKOZ,P/FUK,PUS-FUK,OZ,"1,004 ",0 ,0%,,,,
P/FUKTW,P/FUK,PUS-FUK,TW,"3,971 ","4,277 ",93%,,,,
P/FUKZE,P/FUK,PUS-FUK,ZE,"4,338 ","4,068 ",107%,,,,
P/NRT7C,P/NRT,PUS-NRT,7C,"5,069 ","19,727 ",26%,,,,
P/NRTBX,P/NRT,PUS-NRT,BX,"3,244 ","10,433 ",31%,,,,
P/NRTH1,P/NRT,PUS-NRT,H1,83 ,0 ,0%,,,,
P/NRTJL,P/NRT,PUS-NRT,JL,106 ,0 ,0%,,,,
P/NRTKE,P/NRT,PUS-NRT,KE,"19,952 ","19,917 ",100%,,,,
P/NRTLJ,P/NRT,PUS-NRT,LJ,"6,443 ","21,280 ",30%,,,,
P/NRTOZ,P/NRT,PUS-NRT,OZ,160 ,0 ,0%,,,,
P/NRTTW,P/NRT,PUS-NRT,TW,"1,311 ",0 ,0%,,,,
I/HNDJL,I/HND,ICN-HND,JL,54 ,0 ,0%,,,,
I/HNDKE,I/HND,ICN-HND,KE,"13,319 ","12,443 ",107%,,,,
I/HNDNH,I/HND,ICN-HND,NH,72 ,0 ,0%,,,,
I/HNDOZ,I/HND,ICN-HND,OZ,"11,509 ","13,901 ",83%,,,,
P/NGOJL,P/NGO,PUS-NGO,JL,28 ,0 ,0%,,,,
P/NGOKE,P/NGO,PUS-NGO,KE,"8,953 ",0 ,0%,,,,
P/NGOLJ,P/NGO,PUS-NGO,LJ,"2,384 ",0 ,0%,,,,
I/KOJJL,I/KOJ,ICN-KOJ,JL,35 ,0 ,0%,,,,
I/KOJKE,I/KOJ,ICN-KOJ,KE,"10,235 ","5,832 ",175%,,,,
I/KMJKE,I/KMJ,ICN-KMJ,KE,"8,022 ","4,540 ",177%,,,,
I/KMJTW,I/KMJ,ICN-KMJ,TW,"1,451 ","12,035 ",12%,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
